quad	usgsid	lat	lon	northing83	easting83	locacc	name	county	aquifer	datecons	depth	diameter	yield	altlndsurf	top_scn	bot_scn	existing	recbox	netname
"O  10W2"	""	35.423562	-76.208471	189212.42	863050.09	"G"	"Hydeland"	"Hyde"	"Tch"	"1975-03-20"	857	6	12	1.573	847	857	"y"	"n"	""
"O  10W3"	"352527076123103"	35.423562	-76.208471	189212.42	863050.09	"G"	"Hydeland"	"Hyde"	"Tch"	"1975-04-08"	700	6	100	1.913	640	700	"y"	"n"	"NC-159"
"O  10W6"	""	35.423757	-76.208353	189234.34	863060.2	"G"	"Hydeland"	"Hyde"	"S"	"1977-08-23"	11	1.25	2	1.783	7	11	"y"	"n"	""
"M  12L1"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Tch"	"1977-03-21"	550	6	75	9.677	440	550	"y"	"n"	""
"M  12L2"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"S"	"1977-08-15"	14	1.25	2	9.117	9	14	"y"	"n"	""
"M  12L3"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Tb"	"1978-09-11"	854	6	6	9.577	844	854	"y"	"n"	""
"M  12L4"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Tch"	"1986-09-26"	680	4	100	9.837	650	680	"y"	"n"	""
"M  12L5"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Ty"	"1978-10-03"	111	6	80	9.547	63	111	"y"	"n"	""
"M  12L6"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Ty"	"1978-10-12"	213	4	1	9.677	203	213	"y"	"n"	""
"O  13C2"	""	35.495528	-76.451312	196600.34	840802.17	"G"	"Scranton"	"Hyde"	"Tch"	"1966-02-15"	398	2	0	2.122	382	398	"y"	"n"	""
"O  13F1"	""	35.481758	-76.485723	194993.63	837719.98	"G"	"Sladesville"	"Hyde"	"Tch"	"1977-04-14"	470	6	125	2.502	342	470	"y"	"y"	""
"M  12L8"	""	35.622783	-76.354005	210943.73	849250.94	"G"	"New Lake"	"Hyde"	"Tch"	"1978-11-06"	550	6	200	9.387	450	550	"y"	"n"	""
"L  15T1"	""	35.68587	-76.5971	217380.72	827068.77	"G"	"D Canal Road"	"Hyde"	"S"	"2014-03-27"	110	4	20	10.119	76	86	"y"	"n"	""
"L  15T2"	""	35.68587	-76.5971	217380.72	827068.77	"G"	"D Canal Road"	"Hyde"	"Tb"	"2014-04-10"	590	4	12	9.139	553	563	"y"	"n"	""
"L  15T3"	""	35.68587	-76.5971	217380.72	827068.77	"G"	"D Canal Road"	"Hyde"	"S"	"2014-04-10"	28	4	0.5	9.009	10	20	"y"	"n"	""
"L  15T4"	""	35.68587	-76.5971	217380.72	827068.77	"G"	"D Canal Road"	"Hyde"	"Tch"	"2014-04-16"	360	4	27	8.719	344	354	"y"	"n"	""
"L  15T5"	""	35.68587	-76.5971	217380.72	827068.77	"G"	"D Canal Road"	"Hyde"	"Tch"	"2014-04-17"	295	4	30	8.359	280	290	"y"	"n"	""
